Variable Name,Label,Type,Data Type,Value Codes,Missing Code
StudieID, Study IDPre-filled by test manager,Text - Field,String,none,
TSCHQ_1,Date of birth (YYYYMMDD),Text - Field,String,none,
TSCHQ_2,Gender,Single-Choice - Radio Buttons,Numeric,1 = Male 2 = Female 3 =  ,999
TSCHQ_3,Handedness (Which hand do you use to write)?,Single-Choice - Radio Buttons,Numeric,1 = Right 2 = Left 3 = Both sides,999
Intro_3,Do you have tinnitus?,Single-Choice - Radio Buttons,Numeric,1 = No 2 = Yes, occasionally (now and then) 3 = Yes, always (all the time) 4 = Don't know 5 =   6 =  ,999
PSQ_1,PSQ 30 - Perceived Stress QuestionnaireFor each sentence, respond with what describes how often it applies to you in general, during the last year or two. Work quickly, without bothering to check your answers, and be careful to describe your life in the long run. - You feel rested,Matrix - Radio Buttons,Numeric,1 = Almost Never 2 = Sometimes 3 = Often 4 = Usually,999
PSQ_2,PSQ 30 - Perceived Stress QuestionnaireFor each sentence, respond with what describes how often it applies to you in general, during the last year or two. Work quickly, without bothering to check your answers, and be careful to describe your life in the long run. - You feel that too many demands are being made on you,Matrix - Radio Buttons,Numeric,1 = Almost Never 2 = Sometimes 3 = Often 4 = Usually,999
PSQ_3,PSQ 30 - Perceived Stress QuestionnaireFor each sentence, respond with what describes how often it applies to you in general, during the last year or two. Work quickly, without bothering to check your answers, and be careful to describe your life in the long run. - You are irritable or grouchy,Matrix - Radio Buttons,Numeric,1 = Almost Never 2 = Sometimes 3 = Often 4 = Usually,999
PSQ_4,PSQ 30 - Perceived Stress QuestionnaireFor each sentence, respond with what describes how often it applies to you in general, during the last year or two. Work quickly, without bothering to check your answers, and be careful to describe your life in the long run. - You have too many things to do,Matrix - Radio Buttons,Numeric,1 = Almost Never 2 = Sometimes 3 = Often 4 = Usually,999
PSQ_5,PSQ 30 - Perceived Stress QuestionnaireFor each sentence, respond with what describes how often it applies to you in general, during the last year or two. Work quickly, without bothering to check your answers, and be careful to describe your life in the long run. - You feel lonely or isolated,Matrix - Radio Buttons,Numeric,1 = Almost Never 2 = Sometimes 3 = Often 4 = Usually,999
PSQ_6,PSQ 30 - Perceived Stress QuestionnaireFor each sentence, respond with what describes how often it applies to you in general, during the last year or two. Work quickly, without bothering to check your answers, and be careful to describe your life in the long run. - You find yourself in situations of conflict,Matrix - Radio Buttons,Numeric,1 = Almost Never 2 = Sometimes 3 = Often 4 = Usually,999
PSQ_7,PSQ 30 - Perceived Stress QuestionnaireFor each sentence, respond with what describes how often it applies to you in general, during the last year or two. Work quickly, without bothering to check your answers, and be careful to describe your life in the long run. - You feel you're doing things you really like,Matrix - Radio Buttons,Numeric,1 = Almost Never 2 = Sometimes 3 = Often 4 = Usually,999
PSQ_8,PSQ 30 - Perceived Stress QuestionnaireFor each sentence, respond with what describes how often it applies to you in general, during the last year or two. Work quickly, without bothering to check your answers, and be careful to describe your life in the long run. - You feel tired,Matrix - Radio Buttons,Numeric,1 = Almost Never 2 = Sometimes 3 = Often 4 = Usually,999
PSQ_9,PSQ 30 - Perceived Stress QuestionnaireFor each sentence, respond with what describes how often it applies to you in general, during the last year or two. Work quickly, without bothering to check your answers, and be careful to describe your life in the long run. - You fear you may not manage to attain your goals,Matrix - Radio Buttons,Numeric,1 = Almost Never 2 = Sometimes 3 = Often 4 = Usually,999
PSQ_10,PSQ 30 - Perceived Stress QuestionnaireFor each sentence, respond with what describes how often it applies to you in general, during the last year or two. Work quickly, without bothering to check your answers, and be careful to describe your life in the long run. - You feel calm,Matrix - Radio Buttons,Numeric,1 = Almost Never 2 = Sometimes 3 = Often 4 = Usually,999
